model,fold,n_train,n_val,rmse,mae,corr
XGBoost,0,21,22,60.47321244942264,45.963259335053046,0.5625798179219711
LightGBM,0,21,22,59.43083987319917,46.104703057341354,-0.058860701716386604
RandomForest,0,21,22,58.69733908527944,44.40594160329448,0.5451567008553014
XGBoost,1,43,22,16.86745925547823,13.697695536712235,0.6953602931121025
LightGBM,1,43,22,20.11201620552848,15.645551344427973,0.6423869687175936
RandomForest,1,43,22,20.466772096600412,16.960613149035783,0.6681716741794277
XGBoost,2,65,22,26.033530325150856,18.9377896156053,-0.33276685354362906
LightGBM,2,65,22,24.76107608748164,18.737084530954238,-0.3689769435167141
RandomForest,2,65,22,31.02193604932988,21.944642735557824,-0.3483832664451169
XGBoost,3,87,22,26.92341837001026,22.70988831753615,-0.3074748916050069
LightGBM,3,87,22,26.25491213450075,21.60615121136909,-0.2402686228491368
RandomForest,3,87,22,25.52516702270345,21.277341038264975,-0.31351877200804096
XGBoost,4,109,22,80.16671530150907,72.73670789787849,0.4324292714341443
LightGBM,4,109,22,78.3879471080389,71.14379146884116,0.49742790210846866
RandomForest,4,109,22,81.70149276612133,73.6286276078798,0.3335336741819208
