date,price_pos_52w,price_pos_78w,price_pos_104w,stu_wmt,oni_lag0,oni_lag6,oni_lag12,oni_lag15,oni_lag18,oni_lag24,spi3_nolook,flowering_drought_nolook,cot_index,rv_daily,rv_monthly
2008-01-31,,,,,-1.6,-0.47,0.94,0.54,-0.03,-0.84,,,,1.0858082080677254,
2008-02-29,,,,,-1.64,-0.56,0.66,0.77,0.1,-0.85,,,,1.4603530670626235,
2008-03-31,,,,,-1.52,-0.81,0.22,0.94,0.3,-0.77,,,,5.535334059345523,
2008-04-30,,,,,-1.29,-1.07,-0.12,0.94,0.54,-0.57,,,,2.241621632527534,
2008-05-31,,,,,-1.01,-1.34,-0.32,0.66,0.77,-0.37,,,,2.461866417204602,
2008-06-30,,,,,-0.84,-1.5,-0.38,0.22,0.94,-0.14,,,,2.342637716987686,
2008-07-31,,,,,-0.61,-1.6,-0.47,-0.12,0.94,-0.03,,,,1.61180285787949,
2008-08-31,0.3897846931804501,,,,-0.37,-1.64,-0.56,-0.32,0.66,0.1,,,,1.3987883470724722,
2008-09-30,0.08198911416792747,,,,-0.23,-1.52,-0.81,-0.38,0.22,0.3,,,,2.618152234080402,0.12735790255628585
2008-10-31,0.0,,,,-0.24,-1.29,-1.07,-0.47,-0.12,0.54,,,,2.903167677566124,0.14797948563459046
2008-11-30,0.02131779736448807,,,,-0.35,-1.01,-1.34,-0.56,-0.32,0.77,,,,1.578840954779209,0.14807333183350738
2008-12-31,0.0,0.0,,,-0.55,-0.84,-1.5,-0.81,-0.38,0.94,,,,2.6510374982960174,0.14840202931411156
2009-01-31,0.13035200906409788,0.13035200906409788,,,-0.73,-0.61,-1.6,-1.07,-0.47,0.94,,,,3.0493338728295596,0.15192297878807173
2009-02-28,0.0,0.0,,,-0.85,-0.37,-1.64,-1.34,-0.56,0.66,,,,1.5422958098225639,0.12809386325464836
2009-03-31,0.151990434634398,0.114233943896914,,,-0.79,-0.23,-1.52,-1.5,-0.81,0.22,,,,1.2225680621610227,0.06559437418213954
2009-04-30,0.13389634403804618,0.10063467144913626,0.10063467144913626,,-0.61,-0.24,-1.29,-1.6,-1.07,-0.12,,,,1.4930570038347706,0.06265501889962108
2009-05-31,0.6743063692656673,0.5067994978849356,0.5067994978849356,,-0.33,-0.35,-1.01,-1.64,-1.34,-0.32,,,,1.1985270917166024,0.09430282620103028
2009-06-30,0.24191084258147624,0.14233916229123567,0.14233916229123567,,0.01,-0.55,-0.84,-1.52,-1.5,-0.38,,,,2.7209953031709753,0.10503188843252828
2009-07-31,0.5670262944932457,0.3336355117199376,0.3336355117199376,,0.28,-0.73,-0.61,-1.29,-1.6,-0.47,,,,1.3331728274317054,0.10610834132912554
2009-08-31,0.40966031584331947,0.2762365602085353,0.20761564237277846,,0.45,-0.85,-0.37,-1.01,-1.64,-0.56,,,,2.0429914325531646,0.10890363892234861
2009-09-30,0.6565298070513622,0.4427022305074932,0.332728976560124,,0.58,-0.79,-0.23,-0.84,-1.52,-0.81,,,,2.1111058541508116,0.10490591277130713
2009-10-31,0.9320216778555366,0.6284681536716624,0.4723481183550612,,0.71,-0.61,-0.24,-0.61,-1.29,-1.07,,,,1.9488676936043337,0.0877071734349199
2009-11-30,1.0,0.7792522419745941,0.585675388753209,,1.01,-0.33,-0.35,-0.37,-1.01,-1.34,,,,2.3252307099789613,0.0896467331472495
2009-12-31,0.8204333590165971,0.816641062933459,0.48050762648814654,,1.36,0.01,-0.55,-0.23,-0.84,-1.5,,,,1.224644020667253,0.09106341973623251
2010-01-31,0.6888544240799729,0.6856703264252626,0.403445082617406,,1.56,0.28,-0.73,-0.24,-0.61,-1.6,,,0.0,1.2776497859898541,0.08855120362775637
2010-02-28,0.5252337589442173,0.6068112771416273,0.4728590481680799,,1.5,0.45,-0.85,-0.35,-0.37,-1.64,,,0.0,1.0055518816260478,0.08210604813815581
2010-03-31,0.7906539774386683,0.8266252144143105,0.644149551605081,,1.22,0.58,-0.79,-0.55,-0.23,-1.52,,,56.666520615168906,0.8530332270976266,0.08184235474913039
2010-04-30,0.732106181214525,0.7972135469689575,0.6212304438080786,,0.84,0.71,-0.61,-0.73,-0.24,-1.29,,,0.0,0.6755546454257878,0.08184912587865775
2010-05-31,0.6932514954551272,0.7678018795236045,0.598311336011076,,0.35,1.01,-0.33,-0.85,-0.35,-1.01,,,15.744568894234384,0.8673605836467315,0.05022758925409219
2010-06-30,1.0,1.0,1.0,19.698112080742327,-0.17,1.36,0.01,-0.79,-0.55,-0.84,,,100.0,3.2884521486333065,0.06576699859616693
2010-07-31,1.0,1.0,1.0,19.698112080742327,-0.66,1.56,0.28,-0.61,-0.73,-0.61,,,100.0,2.3069965547910507,0.06340532749735603
2010-08-31,1.0,1.0,1.0,19.698112080742327,-1.05,1.5,0.45,-0.33,-0.85,-0.37,,,81.33940024687175,3.735782497668999,0.06028921782161264
2010-09-30,1.0,1.0,1.0,19.698112080742327,-1.35,1.22,0.58,0.01,-0.79,-0.23,,,81.34666118062783,1.9406595172086643,0.05841553822033004
2010-10-31,1.0,1.0,1.0,19.698112080742327,-1.56,0.84,0.71,0.28,-0.61,-0.24,,,84.01384418036159,2.950569096419706,0.06615692094550192
2010-11-30,0.9663978467057626,0.9709808453033214,0.973404255319149,19.698112080742327,-1.64,0.35,1.01,0.45,-0.33,-0.35,,,74.55768811869207,3.2330016659657,0.06427638733193956
2010-12-31,1.0,1.0,1.0,23.921389047891623,-1.64,-0.17,1.36,0.58,0.01,-0.55,0.8416394261681853,0.0,76.82309945058934,1.8865810636383216,0.09481015035062704
2011-01-31,1.0,1.0,1.0,23.921389047891623,-1.54,-0.66,1.56,0.71,0.28,-0.73,0.8416394261681853,0.0,70.9853087107002,1.6495083430144142,0.0941154676102342
2011-02-28,1.0,1.0,1.0,23.921389047891623,-1.31,-1.05,1.5,1.01,0.45,-0.85,0.8416394261681853,0.0,81.63225790836701,1.407461212028613,0.104571817174105
2011-03-31,0.9450708065476574,0.9470731312584163,0.9518186488679284,23.921389047891623,-1.04,-1.35,1.22,1.36,0.58,-0.79,0.8416394261681853,0.0,61.58724011907931,2.3149074886948835,0.10249763561633636
2011-04-30,1.0,1.0,1.0,23.921389047891623,-0.8,-1.56,0.84,1.56,0.71,-0.61,0.8416394261681853,0.0,89.08923687586224,1.6411855831971334,0.1180977107493539
2011-05-31,0.7428783008066553,0.7959483301392618,0.8091183772728617,23.921389047891623,-0.62,-1.64,0.35,1.5,1.01,-0.33,0.8416394261681853,0.0,49.51714790522061,1.4062689092013316,0.13327411773669925
2011-06-30,0.7236895639433769,0.800352323013954,0.8094704447866354,19.698112080742327,-0.46,-1.64,-0.17,1.22,1.36,0.01,0.8416394261681853,0.0,19.800566352832973,2.0199528372025743,0.09272764281861166
2011-07-31,0.5120358909619785,0.6488549502046497,0.6648921181409041,19.698112080742327,-0.37,-1.54,-0.66,0.84,1.56,0.28,0.8416394261681853,0.0,10.37103371493574,1.0614781407761458,0.09813490276811221
2011-08-31,0.9118658664571284,0.9379164165895101,0.9402506568483855,19.698112080742327,-0.43,-1.31,-1.05,0.35,1.5,0.45,0.8416394261681853,0.0,50.066558559430746,1.5446293660111623,0.13347482807886407
2011-09-30,0.28404465800544415,0.5732888576463168,0.586318197624342,19.698112080742327,-0.58,-1.04,-1.35,-0.17,1.22,0.58,0.8416394261681853,0.0,30.256310961589666,2.7286857207855286,0.18678434593535406
2011-10-31,0.2642276176923162,0.5614778529452049,0.574867834070035,19.698112080742327,-0.79,-0.8,-1.56,-0.66,0.84,0.71,0.8416394261681853,0.0,32.94043614008761,3.965512883903268,0.17569331578908362
2011-11-30,0.09461333200697099,0.514983362106564,0.6150910048320095,19.698112080742327,-0.96,-0.62,-1.64,-1.05,0.35,1.01,0.8416394261681853,0.0,33.712515429484235,1.348744613614732,0.1764246938026069
2011-12-31,0.0,0.41080862899690646,0.5742806887797546,17.91416084569123,-1.02,-0.46,-1.64,-1.35,-0.17,1.36,-0.5115274762584184,0.5115274762584184,14.72033303482828,1.56900448267075,0.14505619979814607
2012-01-31,0.0,0.31211749528758054,0.5049911829647047,17.91416084569123,-0.92,-0.37,-1.54,-1.56,-0.66,1.56,-0.5115274762584184,0.5115274762584184,22.51615557760728,1.489962655284601,0.14759568099853804
2012-02-29,0.0,0.17282880754337857,0.41732278224923247,17.91416084569123,-0.72,-0.43,-1.31,-1.64,-1.05,1.5,-0.5115274762584184,0.5115274762584184,0.0,1.0461793870311216,0.13996672662953366
2012-03-31,0.0,0.0,0.29194424691917575,17.91416084569123,-0.57,-0.58,-1.04,-1.64,-1.35,1.22,-0.5115274762584184,0.5115274762584184,2.0171209288595886,2.831505814004955,0.1507219988293537
2012-04-30,0.0,0.0,0.26468803956822895,17.91416084569123,-0.46,-0.79,-0.8,-1.54,-1.56,0.84,-0.5115274762584184,0.5115274762584184,2.9052707842782106,1.72824187338415,0.13569657349364272
2012-05-31,0.0,0.0,0.0,17.91416084569123,-0.36,-0.96,-0.62,-1.31,-1.64,0.35,-0.5115274762584184,0.5115274762584184,5.1693533780112295,1.3331626701190618,0.1309305271691062
