observed_date,asset_id,grade,value,range_low,range_high
2013-12-05,coffee:origin:india:arabica,arabica_parchment,6175.0,6100.0,6250.0
2013-12-05,coffee:origin:india:arabica,arabica_cherry,3025.0,2950.0,3100.0
2013-12-05,coffee:origin:india:robusta,robusta_parchment,5287.5,5250.0,5325.0
2013-12-05,coffee:origin:india:robusta,robusta_cherry,2587.5,2575.0,2600.0
2014-01-30,coffee:origin:india:arabica,arabica_parchment,6800.0,6725.0,6875.0
2014-01-30,coffee:origin:india:arabica,arabica_cherry,3412.5,3350.0,3475.0
2014-01-30,coffee:origin:india:robusta,robusta_parchment,5862.5,5725.0,6000.0
2014-01-30,coffee:origin:india:robusta,robusta_cherry,2900.0,2825.0,2975.0
2014-02-25,coffee:origin:india:arabica,arabica_parchment,10200.0,10000.0,10400.0
2014-02-25,coffee:origin:india:arabica,arabica_cherry,4900.0,4800.0,5000.0
2014-02-25,coffee:origin:india:robusta,robusta_parchment,7225.0,7100.0,7350.0
2014-02-25,coffee:origin:india:robusta,robusta_cherry,3450.0,3350.0,3550.0
2014-03-06,coffee:origin:india:arabica,arabica_parchment,11450.0,11200.0,11700.0
2014-03-06,coffee:origin:india:arabica,arabica_cherry,5462.5,5325.0,5600.0
2014-03-06,coffee:origin:india:robusta,robusta_parchment,7900.0,7550.0,8250.0
2014-03-06,coffee:origin:india:robusta,robusta_cherry,3662.5,3525.0,3800.0
2014-03-13,coffee:origin:india:arabica,arabica_parchment,11900.0,11800.0,12000.0
2014-03-13,coffee:origin:india:arabica,arabica_cherry,5700.0,5600.0,5800.0
2014-03-13,coffee:origin:india:robusta,robusta_parchment,8225.0,8050.0,8400.0
2014-03-13,coffee:origin:india:robusta,robusta_cherry,3862.5,3725.0,4000.0
2014-03-25,coffee:origin:india:arabica,arabica_parchment,9825.0,9700.0,9950.0
2014-03-25,coffee:origin:india:arabica,arabica_cherry,4700.0,4550.0,4850.0
2014-03-25,coffee:origin:india:robusta,robusta_parchment,7750.0,7500.0,8000.0
2014-03-25,coffee:origin:india:robusta,robusta_cherry,3537.5,3475.0,3600.0
2014-03-25,coffee:origin:india:arabica,arabica_parchment,9825.0,9700.0,9950.0
2014-03-25,coffee:origin:india:arabica,arabica_cherry,4700.0,4550.0,4850.0
2014-03-25,coffee:origin:india:robusta,robusta_parchment,7750.0,7500.0,8000.0
2014-03-25,coffee:origin:india:robusta,robusta_cherry,3537.5,3475.0,3600.0
2014-03-25,coffee:origin:india:arabica,arabica_parchment,9825.0,9700.0,9950.0
2014-03-25,coffee:origin:india:arabica,arabica_cherry,4700.0,4550.0,4850.0
2014-03-25,coffee:origin:india:robusta,robusta_parchment,7750.0,7500.0,8000.0
2014-03-25,coffee:origin:india:robusta,robusta_cherry,3537.5,3475.0,3600.0
2014-03-25,coffee:origin:india:arabica,arabica_parchment,9825.0,9700.0,9950.0
2014-03-25,coffee:origin:india:arabica,arabica_cherry,4700.0,4550.0,4850.0
2014-03-25,coffee:origin:india:robusta,robusta_parchment,7750.0,7500.0,8000.0
2014-03-25,coffee:origin:india:robusta,robusta_cherry,3537.5,3475.0,3600.0
2014-03-25,coffee:origin:india:arabica,arabica_parchment,9825.0,9700.0,9950.0
2014-03-25,coffee:origin:india:arabica,arabica_cherry,4700.0,4550.0,4850.0
2014-03-25,coffee:origin:india:robusta,robusta_parchment,7750.0,7500.0,8000.0
2014-03-25,coffee:origin:india:robusta,robusta_cherry,3537.5,3475.0,3600.0
2014-03-25,coffee:origin:india:arabica,arabica_parchment,9825.0,9700.0,9950.0
2014-03-25,coffee:origin:india:arabica,arabica_cherry,4700.0,4550.0,4850.0
2014-03-25,coffee:origin:india:robusta,robusta_parchment,7750.0,7500.0,8000.0
2014-03-25,coffee:origin:india:robusta,robusta_cherry,3537.5,3475.0,3600.0
2014-04-11,coffee:origin:india:arabica,arabica_parchment,11250.0,11000.0,11500.0
