observed_date,feature_name,value
2013-01-31,production_mt:anaamalais_coimbatore:arabica,1300.0
2013-01-31,production_mt:anaamalais_coimbatore:robusta,500.0
2013-01-31,production_mt:anaamalais_coimbatore:total,1800.0
2013-01-31,production_mt:andhra_pradesh:arabica,6100.0
2013-01-31,production_mt:andhra_pradesh:robusta,35.0
2013-01-31,production_mt:andhra_pradesh:total,6135.0
2013-01-31,production_mt:chikkamagaluru:arabica,37825.0
2013-01-31,production_mt:chikkamagaluru:robusta,37200.0
2013-01-31,production_mt:chikkamagaluru:total,75025.0
2013-01-31,production_mt:hassan:arabica,19175.0
2013-01-31,production_mt:hassan:robusta,13725.0
2013-01-31,production_mt:hassan:total,32900.0
2013-01-31,production_mt:india:arabica,100225.0
2013-01-31,production_mt:india:robusta,215275.0
2013-01-31,production_mt:india:total,315500.0
2013-01-31,production_mt:kodagu:arabica,21705.0
2013-01-31,production_mt:kodagu:robusta,97575.0
2013-01-31,production_mt:kodagu:total,119280.0
2013-01-31,production_mt:nelliampathies:arabica,1100.0
2013-01-31,production_mt:nelliampathies:robusta,1450.0
2013-01-31,production_mt:nelliampathies:total,2550.0
2013-01-31,production_mt:nilgiris:arabica,1800.0
2013-01-31,production_mt:nilgiris:robusta,4150.0
2013-01-31,production_mt:nilgiris:total,5950.0
2013-01-31,production_mt:north_eastern_region:arabica,130.0
2013-01-31,production_mt:north_eastern_region:robusta,65.0
2013-01-31,production_mt:north_eastern_region:total,195.0
2013-01-31,production_mt:odisha:arabica,390.0
2013-01-31,production_mt:odisha:robusta,0.0
2013-01-31,production_mt:odisha:total,390.0
2013-01-31,production_mt:pulneys:arabica,6275.0
2013-01-31,production_mt:pulneys:robusta,225.0
2013-01-31,production_mt:pulneys:total,6500.0
2013-01-31,production_mt:shevaroy_salem:arabica,3450.0
2013-01-31,production_mt:shevaroy_salem:robusta,50.0
2013-01-31,production_mt:shevaroy_salem:total,3500.0
2013-01-31,production_mt:travancore:arabica,975.0
2013-01-31,production_mt:travancore:robusta,7150.0
