date,usd_inr
2008-01-31,39.3140
2008-02-29,39.9100
2008-03-31,39.8890
2008-04-30,40.3860
2008-05-31,42.5310
2008-06-30,42.8520
2008-07-31,42.4340
2008-08-31,43.6250
2008-09-30,46.6010
2008-10-31,49.4030
2008-11-30,49.8700
2008-12-31,48.0650
2009-01-31,48.7330
2009-02-28,50.6500
2009-03-31,50.7840
2009-04-30,49.1880
2009-05-31,46.9690
2009-06-30,47.8010
2009-07-31,47.6260
2009-08-31,48.7500
2009-09-30,47.8100
2009-10-31,46.9180
2009-11-30,46.4580
2009-12-31,46.4000
2010-01-31,46.0980
2010-02-28,45.9000
2010-03-31,44.8000
2010-04-30,44.2500
2010-05-31,46.3580
2010-06-30,46.4000
2010-07-31,46.3600
2010-08-31,46.8730
2010-09-30,44.6900
2010-10-31,44.4200
2010-11-30,45.8000
2010-12-31,44.8100
2011-01-31,45.8380
2011-02-28,45.2500
2011-03-31,44.6100
2011-04-30,44.3000
2011-05-31,45.0830
2011-06-30,44.7600
2011-07-31,44.0100
2011-08-31,45.9400
2011-09-30,48.8600
2011-10-31,48.6280
2011-11-30,51.9030
2011-12-31,53.0000
2012-01-31,52.4930
2012-02-29,49.0680
2012-03-31,51.3380
2012-04-30,52.5380
2012-05-31,56.2280
2012-06-30,56.7980
2012-07-31,55.4230
2012-08-31,55.6280
2012-09-30,53.0080
2012-10-31,53.9580
2012-11-30,54.8380
2012-12-31,54.7530
2013-01-31,53.3030
2013-02-28,53.8580
2013-03-31,54.3880
2013-04-30,54.2280
2013-05-31,56.3780
2013-06-30,60.1880
2013-07-31,60.8080
2013-08-31,67.3900
2013-09-30,62.9100
2013-10-31,61.3200
2013-11-30,62.4130
2013-12-31,61.7800
2014-01-31,62.3100
2014-02-28,62.0200
2014-03-31,59.8400
2014-04-30,60.4180
2014-05-31,58.9000
2014-06-30,60.0380
2014-07-31,60.2500
2014-08-31,60.6100
2014-09-30,61.5530
2014-10-31,61.4330
2014-11-30,61.8530
2014-12-31,63.3780
2015-01-31,61.7960
2015-02-28,61.7540
2015-03-31,62.5090
2015-04-30,63.4420
2015-05-31,63.8250
2015-06-30,63.7240
2015-07-31,64.1180
2015-08-31,66.1430
2015-09-30,65.9200
2015-10-31,65.4440
2015-11-30,66.9000
2015-12-31,66.4550
2016-01-31,68.0930
2016-02-29,68.7300
2016-03-31,66.3680
2016-04-30,66.4380
2016-05-31,67.1330
2016-06-30,67.4160
2016-07-31,67.0070
2016-08-31,67.1266
2016-09-30,66.8163
2016-10-31,66.7814
2016-11-30,68.6080
2016-12-31,67.9330
2017-01-31,67.8210
2017-02-28,66.6932
2017-03-31,64.7900
2017-04-30,64.0600
2017-05-31,64.6186
2017-06-30,64.7851
2017-07-31,64.1235
2017-08-31,63.9762
2017-09-30,65.3600
2017-10-31,64.8424
2017-11-30,64.4148
2017-12-31,64.0620
2018-01-31,63.7699
2018-02-28,64.9100
2018-03-31,65.0300
2018-04-30,66.6100
2018-05-31,67.4300
2018-06-30,68.7967
2018-07-31,68.6850
2018-08-31,71.4050
2018-09-30,72.9500
2018-10-31,73.6500
2018-11-30,69.9200
2018-12-31,69.9225
2019-01-31,71.1200
2019-02-28,71.1900
2019-03-31,69.5000
2019-04-30,69.8118
2019-05-31,69.9800
2019-06-30,69.3250
2019-07-31,69.0775
2019-08-31,71.6802
2019-09-30,70.4987
2019-10-31,70.9900
2019-11-30,71.5474
2019-12-31,71.3110
2020-01-31,71.6400
2020-02-29,71.9300
2020-03-31,75.4000
2020-04-30,75.2585
2020-05-31,75.9600
2020-06-30,75.7000
2020-07-31,74.9900
2020-08-31,73.1283
2020-09-30,73.8450
2020-10-31,74.2640
2020-11-30,73.9409
2020-12-31,73.1340
2021-01-31,72.9388
2021-02-28,73.1509
2021-03-31,73.4453
2021-04-30,74.1058
2021-05-31,72.3935
2021-06-30,74.2876
2021-07-31,74.2520
2021-08-31,73.4112
2021-09-30,74.3220
2021-10-31,74.7972
2021-11-30,75.0549
2021-12-31,74.4312
2022-01-31,75.0390
2022-02-28,75.0680
2022-03-31,75.8278
2022-04-30,76.5890
2022-05-31,77.5209
2022-06-30,78.8983
2022-07-31,79.5715
2022-08-31,79.6823
2022-09-30,81.4806
2022-10-31,82.2392
2022-11-30,81.6309
2022-12-31,82.8351
2023-01-31,81.5799
2023-02-28,82.6520
2023-03-31,82.1005
2023-04-30,81.7651
2023-05-31,82.6839
2023-06-30,82.0754
2023-07-31,82.2528
2023-08-31,82.7004
2023-09-30,83.1930
2023-10-31,83.2965
2023-11-30,83.3303
2023-12-31,82.3020
2024-01-31,83.1097
2024-02-29,82.9119
2024-03-31,83.3930
2024-04-30,83.4511
2024-05-31,83.3209
2024-06-30,83.4509
2024-07-31,83.7390
2024-08-31,83.8951
2024-09-30,83.7164
2024-10-31,84.0891
2024-11-30,84.4716
2024-12-31,85.7866
2025-01-31,86.6470
2025-02-28,87.3270
2025-03-31,85.5388
2025-04-30,85.1708
2025-05-31,85.3613
2025-06-30,85.4553
2025-07-31,87.7146
2025-08-31,87.5917
2025-09-30,88.7045
2025-10-31,88.6345
2025-11-30,89.3648
2025-12-31,89.7694
2026-01-31,91.7819
2026-02-28,91.0074
2026-03-31,94.3559
2026-04-30,94.9166
2026-05-31,96.0482
2026-06-30,94.7905
2026-07-31,95.6848
2026-08-31,95.4022
